epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.7379,1.4287,2.12105,1.36168,0.66925,0.74339,0.81632,0.44032,1.29487,1.91064,1.2952,0.000658824,0.000658824,0.000658824
2,59.3604,1.41641,1.54609,1.31428,0.92428,0.74751,0.89691,0.52013,1.55491,1.30467,1.57854,0.001273,0.001273,0.001273
3,87.9256,1.39598,1.37748,1.29987,0.71965,0.65306,0.74663,0.34445,1.72345,1.55591,1.60641,0.00183438,0.00183438,0.00183438
4,116.271,1.36947,1.25728,1.30867,0.88716,0.81633,0.8947,0.46558,1.4502,1.22091,1.44834,0.0017624,0.0017624,0.0017624
5,145.16,1.3677,1.20564,1.32155,0.91844,0.91929,0.96459,0.57734,1.20221,0.93648,1.2664,0.0016832,0.0016832,0.0016832
6,174.03,1.25912,1.07257,1.25415,0.89807,0.95918,0.938,0.55829,1.27588,0.87201,1.41548,0.001604,0.001604,0.001604
7,202.155,1.27649,1.01754,1.25939,0.90712,0.89796,0.95282,0.59585,1.21337,0.88224,1.30128,0.0015248,0.0015248,0.0015248
8,230.492,1.23357,0.97854,1.23724,0.87149,0.81633,0.908,0.50632,1.39981,0.88352,1.4152,0.0014456,0.0014456,0.0014456
9,258.652,1.21918,0.93988,1.21607,0.94021,0.91837,0.9657,0.66173,1.05848,0.7666,1.23221,0.0013664,0.0013664,0.0013664
10,287.119,1.19541,0.92744,1.19454,0.95697,0.93878,0.95718,0.62787,1.25915,0.71397,1.41573,0.0012872,0.0012872,0.0012872
11,316.327,1.1569,0.86083,1.18271,0.95094,0.93878,0.97664,0.68523,1.10816,0.62522,1.2565,0.001208,0.001208,0.001208
12,344.796,1.15776,0.85392,1.17761,0.95912,0.95754,0.97289,0.63201,1.24208,0.66375,1.40821,0.0011288,0.0011288,0.0011288
13,372.674,1.12366,0.80615,1.15024,0.97458,0.91837,0.96731,0.70627,1.06377,0.61404,1.2406,0.0010496,0.0010496,0.0010496
14,401.346,1.11087,0.80835,1.15011,0.95732,0.91564,0.96478,0.58134,1.27196,0.72634,1.27766,0.0009704,0.0009704,0.0009704
15,430.321,1.08364,0.77484,1.14021,0.94232,0.91837,0.96879,0.69603,1.09039,0.62395,1.24357,0.0008912,0.0008912,0.0008912
16,460.624,1.05019,0.74749,1.11952,1,0.93357,0.97332,0.6895,1.0365,0.60215,1.27171,0.000812,0.000812,0.000812
17,488.417,1.00197,0.68105,1.08651,0.92509,0.95918,0.97997,0.66564,1.08727,0.57613,1.26835,0.0007328,0.0007328,0.0007328
18,515.754,0.99532,0.65104,1.09009,0.93464,0.95918,0.97567,0.71,1.04418,0.56446,1.26643,0.0006536,0.0006536,0.0006536
19,543.637,0.99785,0.65185,1.08656,0.97916,0.95895,0.97722,0.72364,1.09293,0.54476,1.26943,0.0005744,0.0005744,0.0005744
20,571.866,0.9491,0.61123,1.05679,0.95886,0.9515,0.97947,0.71199,1.16414,0.58791,1.29518,0.0004952,0.0004952,0.0004952
21,599.485,0.92653,0.60549,1.04876,0.97473,0.93878,0.97044,0.68149,1.21406,0.56307,1.33146,0.000416,0.000416,0.000416
22,626.83,0.91076,0.58715,1.03911,0.95023,0.95918,0.97374,0.72246,1.08654,0.51194,1.27027,0.0003368,0.0003368,0.0003368
23,654.195,0.87973,0.56644,1.03564,0.95791,0.95918,0.97342,0.72687,1.09766,0.51996,1.28459,0.0002576,0.0002576,0.0002576
24,681.824,0.86805,0.5449,1.0282,0.9906,0.95918,0.97858,0.73577,1.05158,0.4987,1.25187,0.0001784,0.0001784,0.0001784
25,708.882,0.83478,0.52894,1.00135,0.97812,0.95918,0.98185,0.75517,0.9927,0.4494,1.23983,9.92e-05,9.92e-05,9.92e-05
